"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","12183"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""] within <doc (month=""2020-01"") />"
"confirm coronavirus",372, 0.00602
"spread coronavirus",371, 0.00600
"have coronavirus",322, 0.00521
"test for coronavirus",276, 0.00446
"infect with coronavirus",243, 0.00393
"contain the coronavirus",242, 0.00391
"have the coronavirus",232, 0.00375
"contract the coronavirus",219, 0.00354
"say the coronavirus",202, 0.00327
"declare the coronavirus",195, 0.00315
"treat coronavirus",153, 0.00247
"be a coronavirus",151, 0.00244
"diagnose with coronavirus",141, 0.00228
"regard the coronavirus",130, 0.00210
"be the coronavirus",125, 0.00202
"contract coronavirus",123, 0.00199
"prevent coronavirus",122, 0.00197
"be coronavirus",117, 0.00189
"declare coronavirus",112, 0.00181
"follow the coronavirus",104, 0.00168
"surround the coronavirus",102, 0.00165
"identify coronavirus",98, 0.00158
"screen for coronavirus",92, 0.00149
"say coronavirus",83, 0.00134
"grow coronavirus",75, 0.00121
"monitor the coronavirus",73, 0.00118
"fight the coronavirus",73, 0.00118
"contain coronavirus",70, 0.00113
"prevent the coronavirus",66, 0.00107
"affect by coronavirus",66, 0.00107
"have contract coronavirus",64, 0.00104
"combat the coronavirus",64, 0.00104
"fight coronavirus",60, 0.00097
"relate to coronavirus",58, 0.00094
"deal with coronavirus",58, 0.00094
"regard coronavirus",51, 0.00082
"discover coronavirus",50, 0.00081
"tackle coronavirus",49, 0.00079
"develop coronavirus",48, 0.00078
"carry the coronavirus",48, 0.00078
"catch the coronavirus",47, 0.00076
"emerge coronavirus",46, 0.00074
"die from coronavirus",46, 0.00074
"address the coronavirus",46, 0.00074
"spread the coronavirus",45, 0.00073
"monitor coronavirus",45, 0.00073
"get coronavirus",44, 0.00071
"believe the coronavirus",44, 0.00071
"detect coronavirus",43, 0.00070
"worsen coronavirus",42, 0.00068
"prepare for coronavirus",42, 0.00068
"cause by coronavirus",42, 0.00068
