"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","388190"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""] within <doc (month=""2020-05"") />"
"relate to COVID-19",6693, 0.10824
"have COVID-19",6000, 0.09703
"contract COVID-19",5578, 0.09021
"test for COVID-19",4330, 0.07003
"fight COVID-19",4181, 0.06762
"treat COVID-19",4177, 0.06755
"die from COVID-19",4137, 0.06691
"confirm COVID-19",4081, 0.06600
"die of COVID-19",3671, 0.05937
"confirm coronavirus",3644, 0.05893
"recover from COVID-19",3382, 0.05469
"fight the coronavirus",3278, 0.05301
"have coronavirus",3244, 0.05246
"cause by COVID-19",3177, 0.05138
"affect by COVID-19",3159, 0.05109
"infect with COVID-19",2975, 0.04811
"impact by COVID-19",2894, 0.04680
"be COVID-19",2613, 0.04226
"combat COVID-19",2572, 0.04160
"diagnose with COVID-19",2558, 0.04137
"cause COVID-19",2547, 0.04119
"contract the coronavirus",2490, 0.04027
"die from coronavirus",2240, 0.03623
"say the coronavirus",2107, 0.03408
"combat the coronavirus",2103, 0.03401
"die of coronavirus",1973, 0.03191
"test for coronavirus",1917, 0.03100
"contain the coronavirus",1886, 0.03050
"treat coronavirus",1803, 0.02916
"fight coronavirus",1771, 0.02864
"contract coronavirus",1764, 0.02853
"follow the coronavirus",1734, 0.02804
"say COVID-19",1719, 0.02780
"infect with coronavirus",1644, 0.02659
"have the coronavirus",1623, 0.02625
"associate with COVID-19",1529, 0.02473
"fight the COVID-19",1433, 0.02317
"prevent COVID-19",1402, 0.02267
"get COVID-19",1402, 0.02267
"respond to COVID-19",1401, 0.02266
"spread COVID-19",1400, 0.02264
"deal with COVID-19",1358, 0.02196
"ease coronavirus",1333, 0.02156
"recover from coronavirus",1276, 0.02064
"contain COVID-19",1261, 0.02039
"battle COVID-19",1249, 0.02020
"battle the coronavirus",1243, 0.02010
"say the COVID-19",1236, 0.01999
"expose to COVID-19",1223, 0.01978
"regard COVID-19",1210, 0.01957
"spread the coronavirus",1189, 0.01923
"follow the COVID-19",1115, 0.01803
"spread coronavirus",1112, 0.01798
"have contract COVID-19",1103, 0.01784
"tackle the coronavirus",1040, 0.01682
"relate to coronavirus",1036, 0.01675
"link to COVID-19",952, 0.01540
"catch COVID-19",952, 0.01540
"catch coronavirus",950, 0.01536
"combat the COVID-19",932, 0.01507
"hospitalize with COVID-19",922, 0.01491
"cause by coronavirus",919, 0.01486
"be coronavirus",912, 0.01475
"combat coronavirus",908, 0.01468
"include COVID-19",903, 0.01460
"use the coronavirus",893, 0.01444
"get coronavirus",872, 0.01410
"diagnose with coronavirus",855, 0.01383
"say coronavirus",834, 0.01349
"handle the coronavirus",833, 0.01347
