"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","232062"
"violate COVID-19",326, 0.00527
"develop a COVID-19",326, 0.00527
"say that COVID-19",321, 0.00519
"result from COVID-19",320, 0.00518
"see COVID-19",319, 0.00516
"adhere to COVID-19",319, 0.00516
"comply with COVID-19",316, 0.00511
"transmit COVID-19",313, 0.00506
"prevent coronavirus",312, 0.00505
"surround the coronavirus",309, 0.00500
"tackle the coronavirus",306, 0.00495
"come to COVID-19",306, 0.00495
"give the COVID-19",303, 0.00490
"control COVID-19",303, 0.00490
"be a coronavirus",301, 0.00487
"control the coronavirus",300, 0.00485
"tackle COVID-19",295, 0.00477
"surround the COVID-19",287, 0.00464
"handle the COVID-19",283, 0.00458
"have have COVID-19",280, 0.00453
"affect by coronavirus",280, 0.00453
"experience COVID-19",279, 0.00451
"regard the coronavirus",274, 0.00443
"suffer from COVID-19",272, 0.00440
"hospitalize for COVID-19",271, 0.00438
"track COVID-19",270, 0.00437
"reduce COVID-19",269, 0.00435
"have [number] COVID-19",268, 0.00433
"cite COVID-19",268, 0.00433
"conduct COVID-19",267, 0.00432
"have contract coronavirus",265, 0.00429
"make COVID-19",261, 0.00422
"combat coronavirus",261, 0.00422
"use the coronavirus",258, 0.00417
"infect by COVID-19",257, 0.00416
"address the coronavirus",254, 0.00411
"get a coronavirus",251, 0.00406
"deal with coronavirus",247, 0.00399
"stop COVID-19",243, 0.00393
"regard the COVID-19",242, 0.00391
"protect against COVID-19",242, 0.00391
"manage the COVID-19",242, 0.00391
"show COVID-19",241, 0.00390
"break coronavirus",241, 0.00390
"have a coronavirus",240, 0.00388
"offer COVID-19",239, 0.00387
"breach coronavirus",239, 0.00387
"breach COVID-19",239, 0.00387
"beat COVID-19",239, 0.00387
"navigate the COVID-19",234, 0.00378
"take the coronavirus",230, 0.00372
"expose to coronavirus",230, 0.00372
"take a coronavirus",229, 0.00370
"say . COVID-19",227, 0.00367
"give COVID-19",227, 0.00367
"record [number] coronavirus",225, 0.00364
"contain coronavirus",221, 0.00357
"keep the coronavirus",220, 0.00356
"focus on COVID-19",219, 0.00354
"support COVID-19",218, 0.00353
"give the coronavirus",218, 0.00353
"cite the coronavirus",214, 0.00346
"use the COVID-19",213, 0.00344
"declare COVID-19",210, 0.00340
"tackle the COVID-19",209, 0.00338
"bring COVID-19",209, 0.00338
"treat for COVID-19",206, 0.00333
"develop a coronavirus",206, 0.00333
"survive the coronavirus",205, 0.00332
"battle coronavirus",204, 0.00330
"increase coronavirus",203, 0.00328
"manage the coronavirus",201, 0.00325
"defeat COVID-19",200, 0.00323
"weather the COVID-19",199, 0.00322
"cope with COVID-19",198, 0.00320
"curb COVID-19",197, 0.00319
"receive COVID-19",195, 0.00315
"curb the coronavirus",194, 0.00314
"avoid COVID-19",194, 0.00314
"call COVID-19",193, 0.00312
"include the coronavirus",191, 0.00309
"include the COVID-19",191, 0.00309
"hit by coronavirus",190, 0.00307
"monitor COVID-19",189, 0.00306
"find COVID-19",189, 0.00306
"battle the COVID-19",189, 0.00306
"concern about COVID-19",188, 0.00304
"live with COVID-19",184, 0.00298
"break COVID-19",184, 0.00298
"take the COVID-19",183, 0.00296
"know COVID-19",183, 0.00296
"enforce COVID-19",182, 0.00294
"be [number] coronavirus",182, 0.00294
"owe to COVID-19",181, 0.00293
"cure COVID-19",180, 0.00291
"weather the coronavirus",172, 0.00278
"have the COVID-19",172, 0.00278
"take coronavirus",170, 0.00275
"be that COVID-19",170, 0.00275
"discuss COVID-19",169, 0.00273
"think COVID-19",167, 0.00270
"tackle coronavirus",167, 0.00270
"believe COVID-19",166, 0.00268
"detect coronavirus",165, 0.00267
"do COVID-19",164, 0.00265
"regard coronavirus",163, 0.00264
"arise from COVID-19",163, 0.00264
"mitigate COVID-19",162, 0.00262
"rage coronavirus",161, 0.00260
"control the COVID-19",161, 0.00260
"screen for COVID-19",160, 0.00259
"diagnose COVID-19",160, 0.00259
"be no COVID-19",159, 0.00257
"include coronavirus",158, 0.00256
"cover COVID-19",158, 0.00256
"suspect COVID-19",157, 0.00254
"cite coronavirus",157, 0.00254
"drive by COVID-19",155, 0.00251
"be before COVID-19",154, 0.00249
"fight against COVID-19",153, 0.00247
"exacerbate by COVID-19",151, 0.00244
"overcome COVID-19",150, 0.00243
"stop the coronavirus",149, 0.00241
"know that COVID-19",149, 0.00241
"implement COVID-19",149, 0.00241
"note that COVID-19",147, 0.00238
"monitor the COVID-19",147, 0.00238
"keep coronavirus",147, 0.00238
"prevent the coronavirus",146, 0.00236
"identify COVID-19",146, 0.00236
"develop coronavirus",145, 0.00234
"link to coronavirus",143, 0.00231
"believe the coronavirus",143, 0.00231
"succumb to coronavirus",142, 0.00230
"face COVID-19",142, 0.00230
"bring the coronavirus",142, 0.00230
"post COVID-19",141, 0.00228
"test coronavirus",140, 0.00226
"face the COVID-19",140, 0.00226
"treat the coronavirus",137, 0.00222
"recover coronavirus",136, 0.00220
"worsen coronavirus",134, 0.00217
"transmit coronavirus",133, 0.00215
"lose to COVID-19",133, 0.00215
"care for COVID-19",133, 0.00215
"involve COVID-19",132, 0.00213
"defeat the coronavirus",132, 0.00213
"grow coronavirus",131, 0.00212
"expect COVID-19",131, 0.00212
"transmit the coronavirus",130, 0.00210
"violate coronavirus",128, 0.00207
"know about COVID-19",128, 0.00207
"use coronavirus",127, 0.00205
"adapt to COVID-19",127, 0.00205
"show that COVID-19",126, 0.00204
"have have coronavirus",126, 0.00204
"help COVID-19",125, 0.00202
"navigate COVID-19",124, 0.00201
"die with coronavirus",124, 0.00201
"receive a COVID-19",123, 0.00199
"evolve COVID-19",123, 0.00199
"discuss the coronavirus",123, 0.00199
"survive the COVID-19",122, 0.00197
"die with COVID-19",122, 0.00197
"update COVID-19",121, 0.00196
"ease COVID-19",121, 0.00196
"meet COVID-19",120, 0.00194
"undergo coronavirus",119, 0.00192
"undergo a COVID-19",119, 0.00192
"think the coronavirus",119, 0.00192
"show coronavirus",119, 0.00192
"release COVID-19",119, 0.00192
"consider the COVID-19",119, 0.00192
"believe that COVID-19",119, 0.00192
"suggest that COVID-19",116, 0.00188
"grow COVID-19",116, 0.00188
"extend coronavirus",116, 0.00188
"flout coronavirus",115, 0.00186
"curb coronavirus",115, 0.00186
"stop coronavirus",114, 0.00184
"impact by coronavirus",114, 0.00184
"surge coronavirus",113, 0.00183
"observe COVID-19",113, 0.00183
"launch COVID-19",112, 0.00181
"be no coronavirus",112, 0.00181
"kill the coronavirus",111, 0.00180
"beat coronavirus",111, 0.00180
"improve COVID-19",110, 0.00178
"get the COVID-19",110, 0.00178
"approve COVID-19",110, 0.00178
"handle coronavirus",109, 0.00176
"do with COVID-19",109, 0.00176
"create a COVID-19",109, 0.00176
"come COVID-19",109, 0.00176
"cite the COVID-19",109, 0.00176
"worsen COVID-19",108, 0.00175
"navigate the coronavirus",108, 0.00175
"trigger by COVID-19",107, 0.00173
"expand COVID-19",107, 0.00173
"control coronavirus",107, 0.00173
"confirm [number] COVID-19",107, 0.00173
"concern COVID-19",107, 0.00173
"use for COVID-19",106, 0.00171
"talk about COVID-19",106, 0.00171
"know coronavirus",106, 0.00171
"be not COVID-19",106, 0.00171
"tie to COVID-19",105, 0.00170
"stem from COVID-19",105, 0.00170
"see coronavirus",105, 0.00170
"provide coronavirus",105, 0.00170
"know as COVID-19",105, 0.00170
"flout COVID-19",105, 0.00170
"ease coronavirus",105, 0.00170
"contract the COVID-19",105, 0.00170
"confirm positive COVID-19",105, 0.00170
"come to coronavirus",105, 0.00170
"base on COVID-19",105, 0.00170
"allow COVID-19",105, 0.00170
"track coronavirus",104, 0.00168
"have [number] coronavirus",104, 0.00168
"worry about COVID-19",102, 0.00165
"require COVID-19",102, 0.00165
"overcome the COVID-19",102, 0.00165
"kill coronavirus",102, 0.00165
"overcome the coronavirus",101, 0.00163
"make coronavirus",101, 0.00163
"help fight COVID-19",101, 0.00163
"confirm with COVID-19",101, 0.00163
"approve a coronavirus",101, 0.00163
"reduce coronavirus",100, 0.00162
"blame COVID-19",100, 0.00162
"impose by COVID-19",99, 0.00160
"experience coronavirus",99, 0.00160
"find coronavirus",98, 0.00158
"ensure COVID-19",98, 0.00158
"let COVID-19",97, 0.00157
"eliminate COVID-19",97, 0.00157
"blame the coronavirus",97, 0.00157
"say that coronavirus",96, 0.00155
"support the COVID-19",95, 0.00154
"pertain to COVID-19",95, 0.00154
"enforce coronavirus",95, 0.00154
"consider COVID-19",95, 0.00154
"call the coronavirus",95, 0.00154
"beat the coronavirus",95, 0.00154
"work on COVID-19",94, 0.00152
"suffer from coronavirus",94, 0.00152
"spread of COVID-19",94, 0.00152
"respond to coronavirus",94, 0.00152
"comply with coronavirus",94, 0.00152
"produce COVID-19",93, 0.00150
"kill by COVID-19",93, 0.00150
"grapple with COVID-19",93, 0.00150
"disrupt by COVID-19",93, 0.00150
"conduct [number] COVID-19",93, 0.00150
"cause the COVID-19",93, 0.00150
"have test COVID-19",92, 0.00149
"see the COVID-19",91, 0.00147
"hospitalize with coronavirus",91, 0.00147
"follow a COVID-19",91, 0.00147
"extend COVID-19",91, 0.00147
"bring by COVID-19",91, 0.00147
"kill COVID-19",90, 0.00146
"curb the COVID-19",90, 0.00146
"avoid coronavirus",90, 0.00146
"rage COVID-19",89, 0.00144
"offer free COVID-19",89, 0.00144
"be battle COVID-19",89, 0.00144
"struggle with COVID-19",88, 0.00142
"help with COVID-19",88, 0.00142
"exhibit COVID-19",88, 0.00142
"limit COVID-19",87, 0.00141
"violate the COVID-19",86, 0.00139
"see the coronavirus",86, 0.00139
"announce COVID-19",86, 0.00139
"hospitalize coronavirus",85, 0.00137
"add COVID-19",85, 0.00137
"report positive COVID-19",84, 0.00136
"happen with COVID-19",84, 0.00136
"designate COVID-19",84, 0.00136
"protect against coronavirus",83, 0.00134
"pass COVID-19",83, 0.00134
"infect by coronavirus",83, 0.00134
"follow a coronavirus",83, 0.00134
"create COVID-19",83, 0.00134
"cause coronavirus",83, 0.00134
"carry COVID-19",83, 0.00134
"believe the COVID-19",83, 0.00134
"associate with coronavirus",83, 0.00134
"observe the COVID-19",82, 0.00133
"acquire COVID-19",82, 0.00133
"surpass [number] coronavirus",81, 0.00131
"emerge from COVID-19",81, 0.00131
"refer to COVID-19",80, 0.00129
"receive coronavirus",80, 0.00129
"prepare for COVID-19",80, 0.00129
"understand COVID-19",79, 0.00128
"follow all COVID-19",79, 0.00128
"suggest COVID-19",78, 0.00126
"remain COVID-19",78, 0.00126
"consider the coronavirus",78, 0.00126
"conduct [number] coronavirus",78, 0.00126
"come the coronavirus",78, 0.00126
"have any COVID-19",77, 0.00125
"cause the coronavirus",77, 0.00125
"carry the coronavirus",77, 0.00125
"ravage COVID-19",76, 0.00123
"predict COVID-19",76, 0.00123
"mandate COVID-19",76, 0.00123
"launch a COVID-19",76, 0.00123
"flatten the COVID-19",76, 0.00123
"detect the coronavirus",76, 0.00123
"delay by COVID-19",76, 0.00123
"approve a COVID-19",76, 0.00123
"ignore COVID-19",75, 0.00121
"import COVID-19",74, 0.00120
"be use COVID-19",74, 0.00120
"survive coronavirus",73, 0.00118
"maintain COVID-19",73, 0.00118
"learn about COVID-19",73, 0.00118
"have no COVID-19",73, 0.00118
"declare the coronavirus",73, 0.00118
"accept COVID-19",73, 0.00118
"surpass [number] COVID-19",72, 0.00116
"find that COVID-19",72, 0.00116
"face the coronavirus",72, 0.00116
"eradicate COVID-19",72, 0.00116
"defeat coronavirus",72, 0.00116
"confirm [number] coronavirus",72, 0.00116
"accelerate by COVID-19",72, 0.00116
"share COVID-19",71, 0.00115
"pose by coronavirus",71, 0.00115
"perform COVID-19",71, 0.00115
"look at COVID-19",71, 0.00115
"go through COVID-19",71, 0.00115
"confront the coronavirus",71, 0.00115
"review the COVID-19",70, 0.00113
"mention COVID-19",70, 0.00113
"allow the coronavirus",70, 0.00113
"report a COVID-19",69, 0.00112
"list COVID-19",69, 0.00112
"let the coronavirus",69, 0.00112
"conduct coronavirus",69, 0.00112
"call coronavirus",69, 0.00112
"be experience COVID-19",69, 0.00112
"keep the COVID-19",68, 0.00110
"ignore coronavirus",68, 0.00110
"exclude COVID-19",68, 0.00110
"be test COVID-19",68, 0.00110
"update its COVID-19",67, 0.00108
"register [number] COVID-19",67, 0.00108
"process COVID-19",67, 0.00108
"lead COVID-19",67, 0.00108
"give coronavirus",67, 0.00108
"call the COVID-19",67, 0.00108
"await COVID-19",67, 0.00108
"provide free COVID-19",66, 0.00107
"depend on COVID-19",66, 0.00107
"clear of COVID-19",66, 0.00107
"be for COVID-19",66, 0.00107
"abide by COVID-19",66, 0.00107
"seek COVID-19",65, 0.00105
"produce a COVID-19",65, 0.00105
"occasion by COVID-19",65, 0.00105
"dedicate to COVID-19",65, 0.00105
"become COVID-19",65, 0.00105
"show the coronavirus",64, 0.00104
"make the coronavirus",64, 0.00104
"discuss the COVID-19",64, 0.00104
"concern the coronavirus",64, 0.00104
"bring coronavirus",64, 0.00104
"offer coronavirus",63, 0.00102
"compare COVID-19",63, 0.00102
"undergo a coronavirus",62, 0.00100
"surge COVID-19",62, 0.00100
"protect from COVID-19",62, 0.00100
"have be COVID-19",62, 0.00100
"fear COVID-19",62, 0.00100
"discuss coronavirus",62, 0.00100
"cure coronavirus",62, 0.00100
"be fight COVID-19",62, 0.00100
"work with COVID-19",61, 0.00099
"end the coronavirus",61, 0.00099
"defy COVID-19",61, 0.00099
"declare coronavirus",61, 0.00099
"complete a COVID-19",61, 0.00099
"be on COVID-19",61, 0.00099
"be find COVID-19",61, 0.00099
"administer COVID-19",61, 0.00099
"add that COVID-19",61, 0.00099
"wait for COVID-19",60, 0.00097
"suppress COVID-19",60, 0.00097
"put COVID-19",60, 0.00097
"inactivate COVID-19",60, 0.00097
"carry coronavirus",60, 0.00097
"adhere to coronavirus",60, 0.00097
"suggest the coronavirus",59, 0.00095
"relate : COVID-19",59, 0.00095
"change COVID-19",59, 0.00095
"carry out COVID-19",59, 0.00095
"worry about coronavirus",58, 0.00094
"review COVID-19",58, 0.00094
"ravage by COVID-19",58, 0.00094
"monitor the coronavirus",58, 0.00094
"face coronavirus",58, 0.00094
"exploit the COVID-19",58, 0.00094
"affect COVID-19",58, 0.00094
"show that coronavirus",57, 0.00092
"report that COVID-19",57, 0.00092
"mitigate the COVID-19",57, 0.00092
"include a COVID-19",57, 0.00092
"have no coronavirus",57, 0.00092
"ensure that COVID-19",57, 0.00092
"counter the coronavirus",57, 0.00092
"connect to COVID-19",57, 0.00092
"claim the coronavirus",57, 0.00092
"avoid the coronavirus",57, 0.00092
"ramp up COVID-19",56, 0.00091
"involve in COVID-19",56, 0.00091
"indicate that COVID-19",56, 0.00091
"help coronavirus",56, 0.00091
"display COVID-19",56, 0.00091
"surround coronavirus",55, 0.00089
"come as coronavirus",55, 0.00089
"be take COVID-19",55, 0.00089
"warn that COVID-19",54, 0.00087
"vaccinate against COVID-19",54, 0.00087
"blame coronavirus",54, 0.00087
"undergo the COVID-19",53, 0.00086
"prevent the COVID-19",53, 0.00086
"lift coronavirus",53, 0.00086
"experience a COVID-19",53, 0.00086
"come as COVID-19",53, 0.00086
"adjust to COVID-19",53, 0.00086
"weather COVID-19",52, 0.00084
"treat for coronavirus",52, 0.00084
"tighten coronavirus",52, 0.00084
"spread the COVID-19",52, 0.00084
"slow COVID-19",52, 0.00084
"register [number] coronavirus",52, 0.00084
"mention the coronavirus",52, 0.00084
"manage coronavirus",52, 0.00084
"have report COVID-19",52, 0.00084
"document COVID-19",52, 0.00084
"do the coronavirus",52, 0.00084
"be treat COVID-19",52, 0.00084
"add [number] COVID-19",52, 0.00084
"investigate COVID-19",51, 0.00082
"identify coronavirus",51, 0.00082
"help combat COVID-19",51, 0.00082
"hear of COVID-19",51, 0.00082
"have see COVID-19",51, 0.00082
"describe COVID-19",51, 0.00082
"claim COVID-19",51, 0.00082
"admit COVID-19",51, 0.00082
"target COVID-19",50, 0.00081
"study COVID-19",50, 0.00081
"spread of coronavirus",50, 0.00081
"pend COVID-19",50, 0.00081
"owe to coronavirus",50, 0.00081
"linger COVID-19",50, 0.00081
"lead to COVID-19",50, 0.00081
"give that COVID-19",50, 0.00081
"describe the coronavirus",50, 0.00081
"defy coronavirus",50, 0.00081
"cover coronavirus",50, 0.00081
"believe coronavirus",50, 0.00081
"become a COVID-19",50, 0.00081
"address coronavirus",50, 0.00081
"add [number] coronavirus",50, 0.00081
"accommodate COVID-19",50, 0.00081
"state that COVID-19",49, 0.00079
"say a COVID-19",49, 0.00079
"moderate COVID-19",49, 0.00079
"introduce COVID-19",49, 0.00079
"interrupt by COVID-19",49, 0.00079
"enter the COVID-19",49, 0.00079
"do with coronavirus",49, 0.00079
"devastate by COVID-19",49, 0.00079
"deliver COVID-19",49, 0.00079
"be follow COVID-19",49, 0.00079
"argue that COVID-19",49, 0.00079
"trace COVID-19",48, 0.00078
"slow the coronavirus",48, 0.00078
"pass a coronavirus",48, 0.00078
"live with coronavirus",48, 0.00078
"have catch coronavirus",48, 0.00078
"expect the COVID-19",48, 0.00078
"end the COVID-19",48, 0.00078
"drive COVID-19",48, 0.00078
"distribute COVID-19",48, 0.00078
"counter COVID-19",48, 0.00078
"cope with coronavirus",48, 0.00078
"be handle COVID-19",48, 0.00078
"approve coronavirus",48, 0.00078
"allow coronavirus",48, 0.00078
"report new COVID-19",47, 0.00076
"hospitalise with COVID-19",47, 0.00076
"hope the coronavirus",47, 0.00076
"claim coronavirus",47, 0.00076
"attribute to coronavirus",47, 0.00076
"understand how COVID-19",46, 0.00074
"treat [number] COVID-19",46, 0.00074
"need a COVID-19",46, 0.00074
"mishandle the coronavirus",46, 0.00074
"make the COVID-19",46, 0.00074
"help prevent COVID-19",46, 0.00074
"declare the COVID-19",46, 0.00074
"claim that COVID-19",46, 0.00074
"treat the COVID-19",45, 0.00073
"suspect coronavirus",45, 0.00073
"record COVID-19",45, 0.00073
"react to COVID-19",45, 0.00073
"prompt by COVID-19",45, 0.00073
"overwhelm by COVID-19",45, 0.00073
"monitor for COVID-19",45, 0.00073
"lose to coronavirus",45, 0.00073
"lead coronavirus",45, 0.00073
"expect the coronavirus",45, 0.00073
"develop severe COVID-19",45, 0.00073
"benefit from COVID-19",45, 0.00073
"warn coronavirus",44, 0.00071
"see in COVID-19",44, 0.00071
"say , COVID-19",44, 0.00071
"provide a COVID-19",44, 0.00071
"pass the coronavirus",44, 0.00071
"offer free coronavirus",44, 0.00071
"know , COVID-19",44, 0.00071
"induce by COVID-19",44, 0.00071
"have catch COVID-19",44, 0.00071
"focus on coronavirus",44, 0.00071
"flatten the coronavirus",44, 0.00071
"face with COVID-19",44, 0.00071
"eliminate coronavirus",44, 0.00071
"diagnose coronavirus",44, 0.00071
"bring the COVID-19",44, 0.00071
"assess COVID-19",44, 0.00071
"track the coronavirus",43, 0.00070
"prevent a COVID-19",43, 0.00070
"minimize COVID-19",43, 0.00070
"linger coronavirus",43, 0.00070
"find a COVID-19",43, 0.00070
"expand coronavirus",43, 0.00070
"establish a COVID-19",43, 0.00070
"eliminate the coronavirus",43, 0.00070
"concern the COVID-19",43, 0.00070
"accord to COVID-19",43, 0.00070
"warn of COVID-19",42, 0.00068
"unfold of COVID-19",42, 0.00068
"suppress the coronavirus",42, 0.00068
"stem the coronavirus",42, 0.00068
"set up COVID-19",42, 0.00068
"say [number] COVID-19",42, 0.00068
"receive a coronavirus",42, 0.00068
"promote COVID-19",42, 0.00068
"pay for COVID-19",42, 0.00068
"mitigate the coronavirus",42, 0.00068
"meet the COVID-19",42, 0.00068
"hope COVID-19",42, 0.00068
"have more COVID-19",42, 0.00068
"have get COVID-19",42, 0.00068
"engage in COVID-19",42, 0.00068
"enforce the COVID-19",42, 0.00068
"apply for COVID-19",42, 0.00068
"work on coronavirus",41, 0.00066
"supply COVID-19",41, 0.00066
"see with COVID-19",41, 0.00066
"see more COVID-19",41, 0.00066
"see how COVID-19",41, 0.00066
"require coronavirus",41, 0.00066
"make a COVID-19",41, 0.00066
"issue COVID-19",41, 0.00066
"involve coronavirus",41, 0.00066
"import coronavirus",41, 0.00066
"grapple with coronavirus",41, 0.00066
"fund COVID-19",41, 0.00066
"exploit the coronavirus",41, 0.00066
"expand its COVID-19",41, 0.00066
"establish COVID-19",41, 0.00066
"decline COVID-19",41, 0.00066
"become a coronavirus",41, 0.00066
"be not coronavirus",41, 0.00066
"access COVID-19",41, 0.00066
"think the COVID-19",40, 0.00065
"spike coronavirus",40, 0.00065
"send COVID-19",40, 0.00065
"read more coronavirus",40, 0.00065
"produce coronavirus",40, 0.00065
"monitor coronavirus",40, 0.00065
"know the coronavirus",40, 0.00065
"hurt by COVID-19",40, 0.00065
"escalate COVID-19",40, 0.00065
"emerge COVID-19",40, 0.00065
"do the COVID-19",40, 0.00065
"contribute to COVID-19",40, 0.00065
"confront the COVID-19",40, 0.00065
"boost COVID-19",40, 0.00065
"acknowledge that COVID-19",40, 0.00065
"think that COVID-19",39, 0.00063
"think coronavirus",39, 0.00063
"spike COVID-19",39, 0.00063
"sign a COVID-19",39, 0.00063
"produce a coronavirus",39, 0.00063
"necessitate by COVID-19",39, 0.00063
"limit coronavirus",39, 0.00063
"improve coronavirus",39, 0.00063
"implement a COVID-19",39, 0.00063
"find the coronavirus",39, 0.00063
"fight off COVID-19",39, 0.00063
"expect coronavirus",39, 0.00063
"confront COVID-19",39, 0.00063
"cater to COVID-19",39, 0.00063
"use in COVID-19",38, 0.00061
"review the coronavirus",38, 0.00061
"register a coronavirus",38, 0.00061
"predict the coronavirus",38, 0.00061
"pass coronavirus",38, 0.00061
"lift COVID-19",38, 0.00061
"have high COVID-19",38, 0.00061
"have confirm COVID-19",38, 0.00061
"experience any COVID-19",38, 0.00061
"develop the COVID-19",38, 0.00061
"decline coronavirus",38, 0.00061
"cover the coronavirus",38, 0.00061
"continue COVID-19",38, 0.00061
"be confirm COVID-19",38, 0.00061
"afflict with COVID-19",38, 0.00061
"understand that COVID-19",37, 0.00060
"see [number] COVID-19",37, 0.00060
"reveal COVID-19",37, 0.00060
"reopen after coronavirus",37, 0.00060
"reopen after COVID-19",37, 0.00060
"relax COVID-19",37, 0.00060
"ravage coronavirus",37, 0.00060
"occupy by COVID-19",37, 0.00060
"learn from COVID-19",37, 0.00060
"find a coronavirus",37, 0.00060
"escalate coronavirus",37, 0.00060
"downplay the coronavirus",37, 0.00060
"declare a COVID-19",37, 0.00060
"concern about coronavirus",37, 0.00060
"complete COVID-19",37, 0.00060
"come from COVID-19",37, 0.00060
"become coronavirus",37, 0.00060
"be offer COVID-19",37, 0.00060
"be in COVID-19",37, 0.00060
"accelerate COVID-19",37, 0.00060
"talk about coronavirus",36, 0.00058
"say a coronavirus",36, 0.00058
"read : COVID-19",36, 0.00058
"need COVID-19",36, 0.00058
"mount coronavirus",36, 0.00058
"hold COVID-19",36, 0.00058
"estimate that COVID-19",36, 0.00058
"emerge from coronavirus",36, 0.00058
"break the COVID-19",36, 0.00058
"blame the COVID-19",36, 0.00058
"base on coronavirus",36, 0.00058
"associate to COVID-19",36, 0.00058
"warn the coronavirus",35, 0.00057
"warn COVID-19",35, 0.00057
"want COVID-19",35, 0.00057
"use federal coronavirus",35, 0.00057
"take for COVID-19",35, 0.00057
"stop the COVID-19",35, 0.00057
"start COVID-19",35, 0.00057
"slow coronavirus",35, 0.00057
"receive the COVID-19",35, 0.00057
"pass another coronavirus",35, 0.00057
"pass a COVID-19",35, 0.00057
"link COVID-19",35, 0.00057
"launch the COVID-19",35, 0.00057
"indicate COVID-19",35, 0.00057
"identify as COVID-19",35, 0.00057
"have survive COVID-19",35, 0.00057
"have handle COVID-19",35, 0.00057
