"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","232062"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""] within <doc (month=""2020-08"") />"
"contract COVID-19",4459, 0.07211
"relate to COVID-19",4132, 0.06682
"have COVID-19",3816, 0.06171
"test for COVID-19",2932, 0.04742
"recover from COVID-19",2507, 0.04054
"die from COVID-19",2421, 0.03915
"confirm COVID-19",2313, 0.03741
"die of COVID-19",2244, 0.03629
"treat COVID-19",2118, 0.03425
"cause by COVID-19",2084, 0.03370
"impact by COVID-19",1988, 0.03215
"infect with COVID-19",1829, 0.02958
"confirm coronavirus",1785, 0.02887
"affect by COVID-19",1749, 0.02829
"be COVID-19",1737, 0.02809
"fight COVID-19",1718, 0.02778
"cause COVID-19",1666, 0.02694
"diagnose with COVID-19",1596, 0.02581
"contract the coronavirus",1502, 0.02429
"get COVID-19",1316, 0.02128
"have coronavirus",1312, 0.02122
"say COVID-19",1254, 0.02028
"spread COVID-19",1202, 0.01944
"expose to COVID-19",1139, 0.01842
"combat COVID-19",1081, 0.01748
"follow the coronavirus",1041, 0.01684
"fight the coronavirus",1020, 0.01650
"associate with COVID-19",996, 0.01611
"say the coronavirus",987, 0.01596
"contract coronavirus",969, 0.01567
"follow COVID-19",957, 0.01548
"prevent COVID-19",950, 0.01536
"test for coronavirus",948, 0.01533
"include COVID-19",861, 0.01392
"regard COVID-19",843, 0.01363
"catch COVID-19",828, 0.01339
"deal with COVID-19",827, 0.01337
"have contract COVID-19",826, 0.01336
"contain the coronavirus",819, 0.01325
"follow the COVID-19",786, 0.01271
"combat the coronavirus",784, 0.01268
"say the COVID-19",775, 0.01253
"hospitalize with COVID-19",759, 0.01227
"die from coronavirus",757, 0.01224
"rise coronavirus",741, 0.01198
"spread the coronavirus",732, 0.01184
"infect with coronavirus",729, 0.01179
"contain COVID-19",721, 0.01166
"have the coronavirus",712, 0.01151
"die of coronavirus",697, 0.01127
"battle COVID-19",677, 0.01095
"report COVID-19",675, 0.01092
"rise COVID-19",663, 0.01072
"respond to COVID-19",640, 0.01035
"report [number] COVID-19",594, 0.00961
"recover from coronavirus",591, 0.00956
"test COVID-19",585, 0.00946
"catch coronavirus",562, 0.00909
"surround COVID-19",558, 0.00902
"spread coronavirus",551, 0.00891
"handle the coronavirus",548, 0.00886
"fight the COVID-19",513, 0.00830
"get coronavirus",510, 0.00825
"succumb to COVID-19",498, 0.00805
"pose by COVID-19",494, 0.00799
"treat coronavirus",475, 0.00768
"develop COVID-19",469, 0.00758
"recover COVID-19",466, 0.00754
"provide COVID-19",465, 0.00752
"keep COVID-19",450, 0.00728
"take COVID-19",448, 0.00725
"battle the coronavirus",446, 0.00721
"link to COVID-19",442, 0.00715
"hit by COVID-19",442, 0.00715
"address COVID-19",435, 0.00703
"be the coronavirus",429, 0.00694
"be coronavirus",424, 0.00686
"report coronavirus",418, 0.00676
"increase COVID-19",418, 0.00676
"catch the coronavirus",418, 0.00676
"undergo COVID-19",417, 0.00674
"be [number] COVID-19",415, 0.00671
"be a COVID-19",414, 0.00670
"have a COVID-19",405, 0.00655
"fight coronavirus",401, 0.00649
"diagnose with coronavirus",397, 0.00642
"cause by coronavirus",391, 0.00632
"detect COVID-19",384, 0.00621
"combat the COVID-19",382, 0.00618
"get a COVID-19",381, 0.00616
"attribute to COVID-19",379, 0.00613
"hospitalize COVID-19",374, 0.00605
"take a COVID-19",372, 0.00602
"create by COVID-19",372, 0.00602
"say coronavirus",365, 0.00590
"address the COVID-19",363, 0.00587
"relate to coronavirus",360, 0.00582
"use COVID-19",355, 0.00574
"contain the COVID-19",354, 0.00573
"record [number] COVID-19",345, 0.00558
"get the coronavirus",344, 0.00556
"manage COVID-19",343, 0.00555
"be the COVID-19",339, 0.00548
"follow coronavirus",336, 0.00543
"survive COVID-19",335, 0.00542
"report [number] coronavirus",332, 0.00537
"handle COVID-19",330, 0.00534
"present by COVID-19",328, 0.00530
