"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","63517"
"catch COVID-19",56, 0.00091
"expose to COVID-19",55, 0.00089
"make coronavirus",54, 0.00087
"have the COVID-19",54, 0.00087
"have novel coronavirus",54, 0.00087
"respond to COVID-19",53, 0.00086
"kill coronavirus",53, 0.00086
"contract the COVID-19",53, 0.00086
"blame the coronavirus",53, 0.00086
"recover coronavirus",52, 0.00084
"prepare for COVID-19",52, 0.00084
"cope with coronavirus",52, 0.00084
"control coronavirus",52, 0.00084
"deal with COVID-19",51, 0.00082
"bring coronavirus",51, 0.00082
"be name COVID-19",51, 0.00082
"avoid the coronavirus",51, 0.00082
"rename COVID-19",50, 0.00081
"quarantine over coronavirus",50, 0.00081
"counter coronavirus",50, 0.00081
"report first coronavirus",49, 0.00079
"politicize the coronavirus",49, 0.00079
"face coronavirus",49, 0.00079
"expand coronavirus",49, 0.00079
"describe the coronavirus",49, 0.00079
"cover the coronavirus",49, 0.00079
"bring the coronavirus",49, 0.00079
"take coronavirus",48, 0.00078
"mount coronavirus",48, 0.00078
"develop COVID-19",48, 0.00078
"contain a coronavirus",48, 0.00078
"claim the coronavirus",48, 0.00078
"infect by COVID-19",47, 0.00076
"follow the COVID-19",47, 0.00076
"counter the coronavirus",47, 0.00076
"surround COVID-19",46, 0.00074
"follow a coronavirus",46, 0.00074
"detect COVID-19",46, 0.00074
"kill the coronavirus",45, 0.00073
"confirm the coronavirus",45, 0.00073
"concern coronavirus",45, 0.00073
"compare the coronavirus",45, 0.00073
"be call COVID-19",45, 0.00073
"assume the coronavirus",45, 0.00073
"track the coronavirus",43, 0.00070
"face the coronavirus",43, 0.00070
"do the coronavirus",43, 0.00070
"defeat the coronavirus",43, 0.00070
"combat the COVID-19",43, 0.00070
"blame coronavirus",43, 0.00070
"keep coronavirus",42, 0.00068
"diagnose the coronavirus",42, 0.00068
"diagnose COVID-19",42, 0.00068
"confirm a coronavirus",42, 0.00068
"postpone over coronavirus",41, 0.00066
"lead the coronavirus",41, 0.00066
"have catch coronavirus",41, 0.00066
"clear of coronavirus",41, 0.00066
"cause the COVID-19",41, 0.00066
"associate with COVID-19",41, 0.00066
"unfold coronavirus",40, 0.00065
"track coronavirus",40, 0.00065
"regard the COVID-19",40, 0.00065
"prevent a coronavirus",40, 0.00065
"predict coronavirus",40, 0.00065
"focus on coronavirus",40, 0.00065
"come to coronavirus",40, 0.00065
"undergo coronavirus",39, 0.00063
"test coronavirus",39, 0.00063
"pose by COVID-19",39, 0.00063
"mention coronavirus",39, 0.00063
"help fight coronavirus",39, 0.00063
"have no coronavirus",39, 0.00063
"discover coronavirus",39, 0.00063
"transmit the coronavirus",38, 0.00061
"ease coronavirus",38, 0.00061
"cause the coronavirus",38, 0.00061
"report COVID-19",37, 0.00060
"overcome the coronavirus",37, 0.00060
"have [number] coronavirus",37, 0.00060
"consider the coronavirus",37, 0.00060
"confront the coronavirus",37, 0.00060
"believe coronavirus",37, 0.00060
"mean the coronavirus",36, 0.00058
"increase coronavirus",36, 0.00058
"downplay the coronavirus",36, 0.00058
"declare COVID-19",36, 0.00058
"check for coronavirus",36, 0.00058
"spread novel coronavirus",35, 0.00057
"lead coronavirus",35, 0.00057
"hope the coronavirus",35, 0.00057
"fight novel coronavirus",35, 0.00057
"create a coronavirus",35, 0.00057
"be that coronavirus",35, 0.00057
"say a coronavirus",34, 0.00055
"raise its coronavirus",34, 0.00055
"owe to coronavirus",34, 0.00055
"fall as coronavirus",34, 0.00055
"curb coronavirus",34, 0.00055
"watch the coronavirus",33, 0.00053
"have report coronavirus",33, 0.00053
"fight against coronavirus",33, 0.00053
"do with coronavirus",33, 0.00053
"confirm new coronavirus",33, 0.00053
