"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","473634"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""] within <doc (month=""2020-03"") />"
"confirm coronavirus",7804, 0.12621
"have coronavirus",7476, 0.12090
"have COVID-19",7404, 0.11974
"relate to COVID-19",5709, 0.09233
"fight the coronavirus",5677, 0.09181
"contract COVID-19",5583, 0.09029
"confirm COVID-19",5451, 0.08816
"test for COVID-19",5376, 0.08694
"test for coronavirus",4694, 0.07591
"fight coronavirus",4458, 0.07210
"spread coronavirus",4414, 0.07138
"combat the coronavirus",4300, 0.06954
"diagnose with COVID-19",4206, 0.06802
"contract the coronavirus",3867, 0.06254
"fight COVID-19",3640, 0.05887
"contain the coronavirus",3595, 0.05814
"have the coronavirus",3571, 0.05775
"diagnose with coronavirus",3511, 0.05678
"know as COVID-19",3427, 0.05542
"affect by COVID-19",3417, 0.05526
"treat COVID-19",3392, 0.05486
"infect with coronavirus",3333, 0.05390
"infect with COVID-19",3324, 0.05376
"contract coronavirus",3203, 0.05180
"combat COVID-19",3077, 0.04976
"treat coronavirus",2946, 0.04764
"combat coronavirus",2806, 0.04538
"say the coronavirus",2800, 0.04528
"die from coronavirus",2647, 0.04281
"cause COVID-19",2593, 0.04193
"regard COVID-19",2588, 0.04185
"grow coronavirus",2375, 0.03841
"affect by coronavirus",2337, 0.03779
"relate to coronavirus",2180, 0.03526
"tackle the coronavirus",2171, 0.03511
"regard the coronavirus",2169, 0.03508
"die from COVID-19",2151, 0.03479
"impact by COVID-19",2134, 0.03451
"get coronavirus",2064, 0.03338
"prevent coronavirus",1937, 0.03133
"be COVID-19",1934, 0.03128
"surround the coronavirus",1883, 0.03045
"cause by COVID-19",1839, 0.02974
"die of coronavirus",1823, 0.02948
"be coronavirus",1820, 0.02943
"spread COVID-19",1819, 0.02942
"cause by coronavirus",1815, 0.02935
"deal with coronavirus",1814, 0.02934
"spread the coronavirus",1800, 0.02911
"follow the coronavirus",1738, 0.02811
"respond to COVID-19",1720, 0.02782
"expose to COVID-19",1668, 0.02698
"prevent COVID-19",1637, 0.02647
"contain COVID-19",1637, 0.02647
"deal with COVID-19",1593, 0.02576
"battle the coronavirus",1579, 0.02554
"catch coronavirus",1534, 0.02481
"be the coronavirus",1530, 0.02474
"tackle coronavirus",1523, 0.02463
"address the coronavirus",1491, 0.02411
"say coronavirus",1467, 0.02372
"get COVID-19",1408, 0.02277
"die of COVID-19",1404, 0.02271
"have contract COVID-19",1402, 0.02267
"call COVID-19",1379, 0.02230
"contain coronavirus",1365, 0.02208
"surround COVID-19",1309, 0.02117
"fight the COVID-19",1245, 0.02013
"handle the coronavirus",1235, 0.01997
"have contract coronavirus",1223, 0.01978
"regard coronavirus",1219, 0.01971
"get the coronavirus",1170, 0.01892
"associate with COVID-19",1167, 0.01887
"say COVID-19",1154, 0.01866
"combat the COVID-19",1153, 0.01865
"catch the coronavirus",1100, 0.01779
"take the coronavirus",1091, 0.01764
"use the coronavirus",1051, 0.01700
"expose to coronavirus",1041, 0.01684
"recover from COVID-19",1000, 0.01617
"prevent the coronavirus",967, 0.01564
"call the coronavirus",947, 0.01532
"contain the COVID-19",933, 0.01509
"declare COVID-19",910, 0.01472
"catch COVID-19",907, 0.01467
"hit by coronavirus",899, 0.01454
"declare the coronavirus",892, 0.01443
"report coronavirus",872, 0.01410
"stop the coronavirus",850, 0.01375
"address the COVID-19",850, 0.01375
"address COVID-19",848, 0.01371
"impact by coronavirus",838, 0.01355
"regard the COVID-19",779, 0.01260
"recover from coronavirus",779, 0.01260
"respond to coronavirus",778, 0.01258
"declare coronavirus",758, 0.01226
"take coronavirus",753, 0.01218
"tackle COVID-19",753, 0.01218
"discuss the coronavirus",750, 0.01213
"stop coronavirus",745, 0.01205
"battle coronavirus",744, 0.01203
"escalate coronavirus",722, 0.01168
"pose by COVID-19",721, 0.01166
"include COVID-19",711, 0.01150
"battle COVID-19",702, 0.01135
"develop COVID-19",697, 0.01127
"monitor the coronavirus",696, 0.01126
"worsen coronavirus",688, 0.01113
"be a coronavirus",687, 0.01111
"curb the coronavirus",678, 0.01096
"say the COVID-19",673, 0.01088
"prepare for coronavirus",667, 0.01079
"surround the COVID-19",662, 0.01071
"treat the coronavirus",646, 0.01045
"monitor the COVID-19",646, 0.01045
"call coronavirus",636, 0.01029
"grow COVID-19",632, 0.01022
"prepare for COVID-19",624, 0.01009
"survive the coronavirus",610, 0.00987
"evolve COVID-19",608, 0.00983
"develop coronavirus",604, 0.00977
"follow coronavirus",600, 0.00970
"avoid coronavirus",596, 0.00964
"handle COVID-19",587, 0.00949
"report [number] coronavirus",583, 0.00943
"know coronavirus",580, 0.00938
"take COVID-19",577, 0.00933
"suffer from coronavirus",574, 0.00928
"surround coronavirus",554, 0.00896
"control the coronavirus",547, 0.00885
"handle coronavirus",545, 0.00881
"follow the COVID-19",545, 0.00881
"discuss coronavirus",543, 0.00878
"know as coronavirus",542, 0.00877
"hit by COVID-19",542, 0.00877
"cope with coronavirus",539, 0.00872
"address coronavirus",538, 0.00870
"infect by COVID-19",535, 0.00865
"use coronavirus",532, 0.00860
"curb coronavirus",527, 0.00852
"show coronavirus",519, 0.00839
"give the coronavirus",513, 0.00830
"rise coronavirus",512, 0.00828
"stop COVID-19",511, 0.00826
"contract the COVID-19",507, 0.00820
"have [number] coronavirus",506, 0.00818
"cancel over coronavirus",500, 0.00809
"spread of coronavirus",489, 0.00791
"make coronavirus",489, 0.00791
"cite coronavirus",481, 0.00778
"spread of COVID-19",471, 0.00762
"manage the coronavirus",468, 0.00757
"face the coronavirus",466, 0.00754
"cure coronavirus",466, 0.00754
"suffer from COVID-19",451, 0.00729
"slow the coronavirus",447, 0.00723
"report COVID-19",445, 0.00720
"confront the coronavirus",445, 0.00720
"infect by coronavirus",442, 0.00715
"weather the coronavirus",435, 0.00703
"believe the coronavirus",423, 0.00684
"worry about coronavirus",422, 0.00682
"tackle the COVID-19",420, 0.00679
"fight against coronavirus",420, 0.00679
"help fight coronavirus",419, 0.00678
"be [number] coronavirus",419, 0.00678
"detect COVID-19",417, 0.00674
"cope with COVID-19",413, 0.00668
"screen for COVID-19",412, 0.00666
"have a coronavirus",412, 0.00666
"beat coronavirus",410, 0.00663
"keep the coronavirus",404, 0.00653
"keep COVID-19",404, 0.00653
"be no coronavirus",402, 0.00650
"concern the coronavirus",396, 0.00640
"screen for coronavirus",394, 0.00637
"think the coronavirus",391, 0.00632
"manage COVID-19",388, 0.00627
"expect the coronavirus",387, 0.00626
"stem the coronavirus",382, 0.00618
"show COVID-19",380, 0.00615
"protect against coronavirus",380, 0.00615
"test COVID-19",378, 0.00611
"confirm [number] coronavirus",377, 0.00610
"discuss COVID-19",374, 0.00605
"keep coronavirus",373, 0.00603
"monitor COVID-19",371, 0.00600
"carry the coronavirus",371, 0.00600
"include coronavirus",367, 0.00594
"link to COVID-19",366, 0.00592
"diagnose COVID-19",366, 0.00592
"associate with coronavirus",366, 0.00592
"counter the coronavirus",363, 0.00587
"see the coronavirus",361, 0.00584
"provide COVID-19",361, 0.00584
"fight against COVID-19",359, 0.00581
"defeat the coronavirus",359, 0.00581
"name COVID-19",357, 0.00577
"detect coronavirus",357, 0.00577
"evolve coronavirus",355, 0.00574
"make COVID-19",354, 0.00573
"have the COVID-19",354, 0.00573
"say that coronavirus",353, 0.00571
"pose by coronavirus",353, 0.00571
"follow COVID-19",349, 0.00564
"avoid the coronavirus",349, 0.00564
"cite the coronavirus",347, 0.00561
"curb COVID-19",344, 0.00556
"kill coronavirus",343, 0.00555
"include the coronavirus",342, 0.00553
"report [number] COVID-19",338, 0.00547
"handle the COVID-19",338, 0.00547
"use COVID-19",337, 0.00545
"cure COVID-19",337, 0.00545
"know about COVID-19",335, 0.00542
"battle the COVID-19",334, 0.00540
"link to coronavirus",333, 0.00539
"kill the coronavirus",333, 0.00539
"experience COVID-19",332, 0.00537
"beat the coronavirus",330, 0.00534
"have a COVID-19",329, 0.00532
"cause the COVID-19",329, 0.00532
"increase coronavirus",328, 0.00530
"concern COVID-19",328, 0.00530
"survive coronavirus",326, 0.00527
"refer to COVID-19",322, 0.00521
"bring the coronavirus",322, 0.00521
"take the COVID-19",320, 0.00518
"describe the coronavirus",318, 0.00514
"talk about coronavirus",316, 0.00511
"protect against COVID-19",315, 0.00509
"be [number] COVID-19",314, 0.00508
"support COVID-19",313, 0.00506
"hospitalize with COVID-19",313, 0.00506
"be the COVID-19",312, 0.00505
"help fight COVID-19",310, 0.00501
"cover the coronavirus",310, 0.00501
"avoid COVID-19",309, 0.00500
"transmit COVID-19",308, 0.00498
"develop a coronavirus",308, 0.00498
"suspect COVID-19",307, 0.00496
"be a COVID-19",307, 0.00496
"exploit the coronavirus",302, 0.00488
"come to coronavirus",300, 0.00485
"overcome the coronavirus",297, 0.00480
"manage the COVID-19",297, 0.00480
"face coronavirus",295, 0.00477
"say that COVID-19",292, 0.00472
"predict the coronavirus",288, 0.00466
"have [number] COVID-19",287, 0.00464
"defeat coronavirus",285, 0.00461
"cover COVID-19",283, 0.00458
"import coronavirus",281, 0.00454
"cover coronavirus",281, 0.00454
"treat for coronavirus",279, 0.00451
"come to COVID-19",277, 0.00448
"get a coronavirus",276, 0.00446
"experience coronavirus",276, 0.00446
"counter coronavirus",276, 0.00446
"defeat COVID-19",271, 0.00438
"bring coronavirus",271, 0.00438
"develop a COVID-19",270, 0.00437
"call the COVID-19",269, 0.00435
"control COVID-19",268, 0.00433
"slow coronavirus",266, 0.00430
"focus on COVID-19",265, 0.00429
"know about coronavirus",264, 0.00427
"carry coronavirus",264, 0.00427
"spread the COVID-19",263, 0.00425
"provide coronavirus",263, 0.00425
"help coronavirus",263, 0.00425
"test coronavirus",262, 0.00424
"result from COVID-19",262, 0.00424
"cancel amid coronavirus",262, 0.00424
"let the coronavirus",261, 0.00422
"concern about coronavirus",261, 0.00422
"know COVID-19",258, 0.00417
"declare the COVID-19",258, 0.00417
"conduct coronavirus",258, 0.00417
"treat for COVID-19",257, 0.00416
"track COVID-19",256, 0.00414
